tweet,entities
"Are you bored 😒at home because of the #coronavirus #CrookedJoeBiden #COVID19 #hunterbidenlaptop #JoeBiden ?
Check out my latest YouTube video 
https://t.co/Vt7udyVTCd","['Are', '#coronavirus', '#CrookedJoeBiden', '#COVID19', '#hunterbidenlaptop', '#JoeBiden', 'Check']"
BIDEN #BIDEN #USAelection2020 #EtatsUnis,"['#BIDEN', '#USAelection2020', '#EtatsUnis']"
Mi commuovo❤ #BidenHarris #Biden #Usa2020 #ByeByeTrump #esalvinimuto https://t.co/U7Ts5iK2eI,"['Mi', '#BidenHarris', '#Biden', '#Usa2020', '#ByeByeTrump', '#esalvinimuto']"
That's right about the time the FBI started sitting on the laptop from hell? Plandemic seems convenient. #JoeBiden hates America. @CNN @MSNBC International crime wave been uncovered. Hello? https://t.co/s0dxbb7uBW,"['That', 'Plandemic', '#JoeBiden', 'America', '@CNN', '@MSNBC', 'International', 'Hello']"
"WAKE UP #MAGATS

Can you see the obvious parallels between how #Putin operates and how #trump is attempting to “rule” as authoritarian #dictator. His systematically consolidating his power before the coup.
#TrumpDictatorship
#TrumpCoupPlot
#VoteBlueToSaveAmerica 
#BidenHarris https://t.co/y2yx6bMlHH","['#MAGATS', 'Can', '#Putin', '#trump', '#dictator', 'His', '#TrumpDictatorship', '#TrumpCoupPlot', '#VoteBlueToSaveAmerica', '#BidenHarris']"
"#USAElections2020 is tight slap for- #Antifa and Communism. 

#Trump","['#USAElections2020', '#Antifa', 'Communism', '#Trump']"
@realDonaldTrump trump PAYS NO TAXES....#JoeBiden has released 22 years of his #TaxReturns. trump released zero (0) tax returns..... #honest JoeBiden &amp; ALL America is asking what is donald trump hiding? https://t.co/Y9Y42Ot1LK,"['@realDonaldTrump', '#JoeBiden', '#TaxReturns', '#honest', 'America']"
"For all those who continue to lie about #Trump's ' hoax"" comment https://t.co/JVnby3QMAj","['For', '#Trump']"
"‘Namaste Trump’ Out. ‘Aav Joe’ In. 

The weekend America will remember for a long long time to come. 

@JoeBiden Congratulations Mr President. 

#JoeBiden https://t.co/HsLk1R8Tm6","['Namaste', 'Trump', 'Out', 'Aav', 'Joe', 'In', 'The', 'America', '@JoeBiden', 'Congratulations', 'Mr', 'President', '#JoeBiden']"
"Può rivincere Trump,la spiegazione è anche banale,contro gli hanno messo #Biden che è un mix tra Zingaretti e Palmiro Cangini,personalità zero, è più interessante guardare la vernice che asciuga piuttosto di suoi comizi 👀
#Elections2020","['Trump', '#Biden', 'Zingaretti', 'Palmiro', 'Cangini', '#Elections2020']"
"#Biden: *lays out action steps for combatting Covid*

#Trump: Draws a vulgar picture on his notepad.

#Debates2020","['#Biden', 'Covid', '#Trump', 'Draws', '#Debates2020']"
#TrumpNowMoreThanEver2020 #JoeBidenToCreepyToBePresident #TrumpNow #Trump2020Landslide @realDonaldTrump @POTUS #Trump https://t.co/mHaggxQoLz,"['#TrumpNowMoreThanEver2020', '#JoeBidenToCreepyToBePresident', '#TrumpNow', '#Trump2020Landslide', '@realDonaldTrump', '@POTUS', '#Trump']"
"#DonaldTrump is not having it, insist he won the election. https://t.co/i21pSNiy0o",['#DonaldTrump']
"😂😂😂😂😂😂
#trump #TrumpMeltdown #TrumpChinaBankAccount #Trump2020 (#ithinktfnot 🥴) https://t.co/TLSYxCHC7R","['#trump', '#TrumpMeltdown', '#TrumpChinaBankAccount', '#Trump2020', '#ithinktfnot']"
"😂Who Else Goes Through This 
•
•
• @tiktok_us  #funny #comedy #laughs #Like #retweet #publicfigure #BidenForPresident #biden #tiktoklviral #tiktoker #tiktoktrends #tiktokapp #tiktokpartner #tiktokchallenge https://t.co/2V0zUBCtCW","['Who', 'Else', 'Goes', 'Through', 'This', '@tiktok_us', '#funny', '#comedy', '#laughs', '#Like', '#retweet', '#publicfigure', '#BidenForPresident', '#biden', '#tiktoklviral', '#tiktoker', '#tiktoktrends', '#tiktokapp', '#tiktokpartner', '#tiktokchallenge']"
"@brikeilarcnn Neither @realDonaldTrump or @DonaldJTrumpJr thought anything that had to do with #COVID19 #coronavirus was ""almost nothing"" when the @POTUS  was airlifted to 
@WalterReedGME at taxpayers expense when they were scared #Trump would die. He's an insult to #USA and those who died.","['@brikeilarcnn', 'Neither', '@realDonaldTrump', '@DonaldJTrumpJr', '#COVID19', '#coronavirus', '@POTUS', '@WalterReedGME', '#Trump', 'He', '#USA']"
"Kamala introduces #Biden and he JOGS to the podium. Because of course he does. He’s JOE. 

And his entrance music is We Take Care of Our Own by the Boss. Because of course it is.","['Kamala', '#Biden', 'Because', 'He', 'And', 'We', 'Take', 'Care', 'Our', 'Own', 'Boss', 'Because']"
"@chrismiz7 Par ailleurs, on peut s’attendre aussi à ce que #Trump se lâche contre les médias 😉","['@chrismiz7', 'Par', '#Trump']"
@FoxNews #trump is now paying drug addicts off the street to support him. Takes one to know one I guess #trumpisondrugs #TrumpIsANationalDisgrace #Elections2020 #vote #VoteBlue #VoteEarly,"['@FoxNews', '#trump', 'Takes', '#trumpisondrugs', '#TrumpIsANationalDisgrace', '#Elections2020', '#vote', '#VoteBlue', '#VoteEarly']"
"Nope, #Biden is not legally the 46th President of ANYTHING! 90% of the vote is fraud over every state in America.  STOP THE STEAL https://t.co/2s95Qr3jjy","['Nope', '#Biden', 'President', 'America']"
"@TammieNYC @yokoboji lol, that accurate gif deserves a follow, so followed Tammie. 👍🙂 #Biden #TrumpIsPathetic","['@TammieNYC', '@yokoboji', 'Tammie', '#Biden', '#TrumpIsPathetic']"
"@ceciliaflesch Parabéns. Eu consegui gravar, ""amador"", você ao vivo dando a notícia da eleição de #JoeBiden https://t.co/vhikqdHb7x","['@ceciliaflesch', 'Eu', '#JoeBiden']"
"""Quando tutte le miccette di #Trump saranno state sparate, #Biden e #OcasioCortez avranno vinto anche dicendo cose impopolari. O forse proprio per quello. Nel caso, qualcuno da ‘ste parti prenda nota."" @bravimabasta  
https://t.co/5iw1sPHi4t","['Quando', '#Trump', '#Biden', '#OcasioCortez', 'Nel', '@bravimabasta']"
"Donc @JY_LeDrian va se rendre en #Egypte pour demander à un régime fasciste de mettre un terme à la campagne #BoycottFrance lancer par la société civile.
On est pas un peu loin de l'esprit #Charlie là?😕😕
#Election2020results 
#Biden 
#القاهرة_تنتخب 
#مقاطعه_المنتجات_الفرنسيه11 https://t.co/3mKm2xgnnP https://t.co/S7C74Cyyx7","['Donc', '@JY_LeDrian', '#Egypte', '#BoycottFrance', 'On', '#Charlie', '#Election2020results', '#Biden', '#القاهرة_تنتخب', '#مقاطعه_المنتجات_الفرنسيه11']"
"DONALD TRUMP DOES NOT RECOGNIZE THE DIFFERENCE BETWEEN A PATRIOT AND A NAZI!DONALD TRUMP IS A NAZI WHOSE CORONA FAILURE HAS CAUSED OVER 220,000 DEATHS!
#trump
#potus
#potus45","['#trump', '#potus', '#potus45']"
"Vocero del chavismo @ZurdaConducta celebra posible victoria de #Biden y envía mensaje a los “venezolanos miameros”

“... ahora para dónde van a correr? [...] les está llegando  el #Comunismo via delivery!!!  [...] Tik Tak Tik Tak nos vemos el año que viene en Estados Unidos” https://t.co/KrkxZTjacK","['Vocero', '@ZurdaConducta', '#Biden', '#Comunismo', 'Tik', 'Tak', 'Tik', 'Tak', 'Estados', 'Unidos']"
@RTLnieuws Wat een zielige man is t toch ook die #trump 🙄,"['@RTLnieuws', 'Wat', '#trump']"
"از صدای طبخ #کتلت ، ندیدم خوشتر

یادگاری که از آن مرد قمارباز بماند !
#Trump ❤️ https://t.co/uIzOEsinwo","['#کتلت', '#Trump']"
😅😅 Awesome! Listen to the transcript of #JoeBiden's memory loss - when he called @realDonaldTrump George Lopez! #LiberalismIsAMentalDisorder https://t.co/WiAyYS87NT,"['Awesome', 'Listen', '#JoeBiden', '@realDonaldTrump', 'George', 'Lopez', '#LiberalismIsAMentalDisorder']"
"They won't be any easier to change than #Trump (who also isn't a dictator). *They* will be--have always been--your biggest obstacle. Change will only come from political force that fights and defeats them all, not surrenders to them as you have.","['They', '#Trump', 'They', 'Change']"
"@realDonaldTrump Because you lie!!! Because their is no trust or integrity in any of your words!! You are corrupt!!! Because you have failed Americans!!! You are CRASHING and BURNING, that is the story!! #TrumpCollapse #trump https://t.co/cEa3TZAOC5","['@realDonaldTrump', 'Because', 'Because', 'You', 'Because', 'Americans', 'You', '#TrumpCollapse', '#trump']"
People are dancing in the streets all over our country!!! With masks!!! Congratulations #JoeBiden #KamalaHarris #America,"['People', 'With', 'Congratulations', '#JoeBiden', '#KamalaHarris', '#America']"
#DonaldTrump https://t.co/S2FZ4snaGN,['#DonaldTrump']
"Come on America keep the momentum going &amp; vote #BidenHarris2020 
Enough of this #Trump garbage https://t.co/mRZoyUQYk4","['Come', 'America', '#BidenHarris2020', 'Enough', '#Trump']"
@JoeBiden when he finds out Hunter messed up again! 😂#JoeBiden #HunterBidenEmails #hunterscrackpipe #Hunterbidenlaptop #JoeBidenIsALiar #BidenCrimeFamily #BidenHarris2020 #TrumpPence2020 #Trump2020Landslide #Trump2020LandslideVictory #trump2020 @realDonaldTrump https://t.co/DB94bUmbnZ,"['@JoeBiden', 'Hunter', '#JoeBiden', '#HunterBidenEmails', '#hunterscrackpipe', '#Hunterbidenlaptop', '#JoeBidenIsALiar', '#BidenCrimeFamily', '#BidenHarris2020', '#TrumpPence2020', '#Trump2020Landslide', '#Trump2020LandslideVictory', '#trump2020', '@realDonaldTrump']"
@CREWcrew So she is a benefactor of fossi fuels. I'm sute #Trump likes that best,"['@CREWcrew', 'So', '#Trump']"
#Trump2020 #Trump @POTUS @JoeBiden #BidenHarris2020 #Erdogan #SanctionTurkey #StopErdoğan #turkey  #TurkeyIsATerrorState #boycottturkey https://t.co/qkjRsdj9io,"['#Trump2020', '#Trump', '@POTUS', '@JoeBiden', '#BidenHarris2020', '#Erdogan', '#SanctionTurkey', '#StopErdoğan', '#turkey', '#TurkeyIsATerrorState', '#boycottturkey']"
"@realDonaldTrump @60Minutes P.S.  #Trump - America is about to make a ‘better decision’, and vote you out, then - hopefully, lock you up and throw away the key.  #StopTrumpsTerror #LockTrumpUp #TrumpIsUnwell","['@realDonaldTrump', '@60Minutes', '#Trump', 'America', '#StopTrumpsTerror', '#LockTrumpUp', '#TrumpIsUnwell']"
@stclairashley He's always been #woke #Biden is a puppet,"['@stclairashley', 'He', '#woke', '#Biden']"
"Les français et françaises en Amérique qui soutiennent #Trump me font honte et me font vomir , j'espère une chose que #Biden sera élu #ZoneInterdite","['Les', '#Trump', '#Biden', '#ZoneInterdite']"
Joe Biden it is ! #USElections #JoeBiden,"['Joe', 'Biden', '#USElections', '#JoeBiden']"
"#Trump Campaign Didn’t Put Secret Watermarks on Ballots.
Here is #Misbar’s Investigation 👇
https://t.co/hyAvDqwTbw

#News #FactCheck #BreakingNews #Facts https://t.co/KYKGtIUrq3","['#Trump', 'Campaign', 'Didn', 'Put', 'Secret', 'Watermarks', 'Ballots', 'Here', '#Misbar', 'Investigation', '#News', '#FactCheck', '#BreakingNews', '#Facts']"
"Anyone following US Presidential elections 2020 ?
Literally its a joke and much more entertaining than any other game match. 😅😅
They seriously need to upgrade.

#USElections #USAElections2020 #DonaldTrump #JoeBidenUkraineScandal 

@PMOIndia please sell them EVMs 🤣","['Anyone', 'Presidential', 'Literally', 'They', '#USElections', '#USAElections2020', '#DonaldTrump', '#JoeBidenUkraineScandal', '@PMOIndia']"
#TrumpMeltdown #TrumpSupporters #Trump #TrumpIsLosing #FireTrump https://t.co/PaGoLn4sgW,"['#TrumpMeltdown', '#TrumpSupporters', '#Trump', '#TrumpIsLosing', '#FireTrump']"
"📽️🇺🇸 @celiabelin s'est également entretenue avec Alexandre Minet, responsable du secteur #International à la Fondation, quelques jours après le #SuperTuesday sur le duel entre #Biden et #Sanders ➡️ https://t.co/Z2yNMuKFn0

#ElectionDay #Elections2020 https://t.co/yqbYCNMVEj","['@celiabelin', 'Alexandre', 'Minet', '#International', 'Fondation', '#SuperTuesday', '#Biden', '#Sanders', '#ElectionDay', '#Elections2020']"
"@SenJohnBarrasso @All100Senators @realDonaldTrump @JoeBiden No, #Trump hasn’t been the best president for Black America since Lincoln #Debate2020 #debates #DebateTonight  https://t.co/MALhmNA5tr via @voxdotcom","['@SenJohnBarrasso', '@All100Senators', '@realDonaldTrump', '@JoeBiden', 'No', '#Trump', 'Black', 'America', 'Lincoln', '#Debate2020', '#debates', '#DebateTonight', '@voxdotcom']"
"This is why #Trump and #Biden sweat daily, from townhalls to campaign. Pence shows up with 2 people. Harris called this weekend off not to be embarrassed as Pence. Hilarious 😆 #Election2020","['This', '#Trump', '#Biden', 'Pence', 'Harris', 'Pence', 'Hilarious', '#Election2020']"
#JoeBiden #POTUS46 https://t.co/WQbGvxwmO2,"['#JoeBiden', '#POTUS46']"
"@H_MitchellPhoto #Democrat s need to watch this. "" #JoeBiden  wouldn't even get security clearance at this point, how can he be president""

Watch it until the end and then decide, they cover many topics associated with the source of the #Hunterbidenlaptop, not just fluff.

https://t.co/DIjhppNQSI","['@H_MitchellPhoto', '#Democrat', '#JoeBiden', 'Watch', '#Hunterbidenlaptop']"
@PattyArquette In all fairness (no I didn’t vote for Trump then or now) the Dems. Should have not cheated @SenSanders out of being the nominee in 2016. Their are consequences for every action @PattyArquette so they @SenateDems  @HillaryClinton didn’t care  aldo @SusanSarandon @JoyVBehar #trump,"['@PattyArquette', 'In', 'Trump', 'Dems', 'Should', '@SenSanders', 'Their', '@PattyArquette', '@SenateDems', '@HillaryClinton', '@SusanSarandon', '@JoyVBehar', '#trump']"
"Trump ou Biden?

Chegou o dia da grande decisão na América e a TVI vai acompanhar as eleições com uma grande emissão especial.

A não perder, esta noite, a partir das 23:00 📺 

#trump #biden #eleições #eua #presidenciais #tvi24 #informação https://t.co/Dvxa7sxcsC","['Trump', 'Biden', 'Chegou', '#trump', '#biden', '#eleições', '#eua', '#presidenciais', '#tvi24', '#informação']"
MJ waiting on the election results all day. Had me keep the tv on @cnn all day for him while I was at work. #2020election #biden #trump #vote2020 #election2020 #results2020 #potus https://t.co/qoa8dmnMlw,"['Had', '@cnn', '#2020election', '#biden', '#trump', '#vote2020', '#election2020', '#results2020', '#potus']"
@megynkelly You know #Trump is with his spin and over talking without a plan! #DebateTonight,"['@megynkelly', 'You', '#Trump', '#DebateTonight']"
"RIP ""We're better than this""
#Trump https://t.co/LMlV47m91P","['We', '#Trump']"
"Maybe someday the US will elect a President who isn't a total scumbag. 
#PipeDreams
#2020Election 
#JoeBiden 
#DonaldTrump","['Maybe', 'President', '#PipeDreams', '#2020Election', '#JoeBiden', '#DonaldTrump']"
@DavidLammy A national disgrace is people like you in the Labour party preaching about democracy and racism while turning a blind eye to antisemitism and trying to overturn brexit.. You support the fraud in #USElections because you don't like #Trump .. #ElectionFraud,"['@DavidLammy', 'Labour', 'You', '#USElections', '#Trump', '#ElectionFraud']"
"#BreakingNews 

#Trump Declares Victory. Demanding US Supreme Court to stop ballot counting.

#USAElections2020
#AmericaDecides2020 

https://t.co/kM88XOSsUE","['#BreakingNews', '#Trump', 'Declares', 'Victory', 'Demanding', 'Supreme', 'Court', '#USAElections2020', '#AmericaDecides2020']"
"Nuestro reportero @albinsonl repasa qué líderes aún no se han pronunciado sobre la elección de #Biden como presidente.

📌 Sigue aquí la cobertura: https://t.co/AU14R9yBqW 

#Election2020 #ElectionResults #Decision2020 https://t.co/DVcBvWJb9Y","['Nuestro', '@albinsonl', '#Biden', 'Sigue', '#Election2020', '#ElectionResults', '#Decision2020']"
